source,target,status,reason
common/component_sets/00_SFT_weapon_set.txt,common/component_sets/00_SFT_weapon_set.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_tags/SFT_component_tags.txt,common/component_tags/SFT_component_tags.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_biogenesis_utilities_roles.txt,common/component_templates/000_SFT_00_biogenesis_utilities_roles.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_biogenesis_weapons_autocannon.txt,common/component_templates/000_SFT_00_biogenesis_weapons_autocannon.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_biogenesis_weapons_weaver.txt,common/component_templates/000_SFT_00_biogenesis_weapons_weaver.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_utilities_roles.txt,common/component_templates/000_SFT_00_utilities_roles.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_utilities_roles_space_fauna.txt,common/component_templates/000_SFT_00_utilities_roles_space_fauna.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_weapons_extra_large_kinetic.txt,common/component_templates/000_SFT_00_weapons_extra_large_kinetic.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_weapons_missiles.txt,common/component_templates/000_SFT_00_weapons_missiles.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_00_weapons_projectile.txt,common/component_templates/000_SFT_00_weapons_projectile.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/000_SFT_COMP.txt,common/component_templates/000_SFT_COMP.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/component_templates/zzz_SFT_GE_ehof_computer_max.txt,common/component_templates/zzz_SFT_GE_ehof_computer_max.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_modifiers/00_SFT_scripted_modifiers.txt,common/scripted_modifiers/00_SFT_scripted_modifiers.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_triggers/zz_SFTt_ACTIVATED.txt,common/scripted_triggers/zz_SFTt_ACTIVATED.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_triggers/zz_SFTt_FLEET_NONCOMBAT_REPAIR.txt,common/scripted_triggers/zz_SFTt_FLEET_NONCOMBAT_REPAIR.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_triggers/zz_SFTt_SHIP_COMBAT_RANGE.txt,common/scripted_triggers/zz_SFTt_SHIP_COMBAT_RANGE.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_triggers/zz_SFTt_SHIP_DESIGN.txt,common/scripted_triggers/zz_SFTt_SHIP_DESIGN.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_triggers/zz_SFTt_SHIP_DESIGN_AIP.txt,common/scripted_triggers/zz_SFTt_SHIP_DESIGN_AIP.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
common/scripted_triggers/zz_SFTt_SHIP_DESIGN_PrE.txt,common/scripted_triggers/zz_SFTt_SHIP_DESIGN_PrE.txt,copied,SFT ship build/combat-computer equivalence surface; section templates intentionally excluded
