row_family,consumer_surface,consumer_proof_status,object_type,object_id,role,source_scope,consumer_modeling_status,can_consume_now,readiness_phase,build_plan_candidate,gate_reasons,blocker_count,blocker_issue_types,benefit_numeric_rows,benefit_policy_required_rows,fallback_building_id,fallback_lifetime,replacement_policy,selected_objects,source_mod,source_file,next_action
benefit_class,modeling_policy_only,not_consumed,benefit_class,amenities,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,124,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,blocker_district_capacity,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,302,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,bombardment_resistance,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,26,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,crime_deviancy_control,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,65,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,defense_armies,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,32,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,diplomacy_envoys,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,10,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,direct_resource_support,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,213,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,empire_country_modifier,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,0,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,habitability,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,5,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,housing,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,285,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,megastructure_construction,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,74,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,migration_resettlement,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,9,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,naval_capacity,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,15,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,planet_capacity,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,0,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,pop_growth_assembly,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,18,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,research_speed,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,18,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,shipyard_throughput,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,26,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,stability,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,41,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,starbase_support,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,398,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
benefit_class,modeling_policy_only,not_consumed,benefit_class,trade_policy_value,,benefit_taxonomy,benefit_formula_mapping_required,no,,,,0,,2,0,,not_applicable,benefit_class_does_not_demolish_or_replace,,,,Map preserved numeric values into a source-backed economic-plan or construction-order rule.
